Local_Start_Date,Local_End_Date,Local_Start_Hour,Local_End_Hour,Local_Start_15_Minute_Block,Local_End_15_Minute_Block,Characters,15-Minute Block
2023-12-01,2023-12-01,9,9,1,1,8738,2023-12-01 9_1
2023-11-19,2023-11-19,17,17,2,2,8654,2023-11-19 17_2
2023-12-02,2023-12-02,21,21,2,2,8364,2023-12-02 21_2
2023-12-07,2023-12-07,9,9,2,2,8358,2023-12-07 9_2
2023-11-19,2023-11-19,17,17,4,4,8299,2023-11-19 17_4
2023-11-18,2023-11-18,13,13,3,3,8146,2023-11-18 13_3
2023-12-04,2023-12-04,16,16,2,2,8142,2023-12-04 16_2
2023-11-19,2023-11-19,17,17,3,3,8065,2023-11-19 17_3
2023-11-18,2023-11-18,13,13,2,2,8057,2023-11-18 13_2
2023-11-28,2023-11-28,18,18,3,3,8000,2023-11-28 18_3
2023-11-15,2023-11-15,9,9,1,1,7998,2023-11-15 9_1
2023-11-18,2023-11-18,23,23,4,4,7972,2023-11-18 23_4
2023-11-18,2023-11-18,13,13,4,4,7914,2023-11-18 13_4
2023-12-02,2023-12-02,18,18,1,1,7843,2023-12-02 18_1
2023-12-02,2023-12-02,17,17,4,4,7827,2023-12-02 17_4
2023-12-06,2023-12-06,0,0,1,1,7803,2023-12-06 0_1
2023-11-18,2023-11-18,13,13,1,1,7657,2023-11-18 13_1
2023-11-14,2023-11-14,18,18,1,1,7547,2023-11-14 18_1
2023-11-12,2023-11-12,15,15,4,4,7383,2023-11-12 15_4
2023-12-06,2023-12-06,23,23,3,3,7371,2023-12-06 23_3
2023-11-12,2023-11-12,15,15,2,2,7274,2023-11-12 15_2
2023-11-12,2023-11-12,15,15,1,1,7229,2023-11-12 15_1
2023-11-19,2023-11-19,19,19,1,1,7000,2023-11-19 19_1
2023-11-26,2023-11-26,0,0,1,1,6927,2023-11-26 0_1
2023-11-28,2023-11-28,7,7,4,4,6799,2023-11-28 7_4
2023-11-17,2023-11-17,8,8,4,4,6713,2023-11-17 8_4
2023-11-16,2023-11-16,21,21,2,2,6448,2023-11-16 21_2
2023-11-12,2023-11-12,15,15,3,3,6419,2023-11-12 15_3
2023-11-05,2023-11-05,19,19,1,1,6142,2023-11-05 19_1
2023-12-05,2023-12-05,23,23,4,4,6127,2023-12-05 23_4
2023-12-08,2023-12-08,19,19,3,3,6075,2023-12-08 19_3
2023-10-29,2023-10-29,19,19,3,3,5903,2023-10-29 19_3
2023-12-01,2023-12-01,22,22,1,1,5852,2023-12-01 22_1
2023-11-05,2023-11-05,18,18,4,4,5845,2023-11-05 18_4
2023-11-29,2023-11-29,9,9,2,2,5827,2023-11-29 9_2
2023-10-29,2023-10-29,19,19,4,4,5771,2023-10-29 19_4
2023-11-28,2023-11-28,7,7,2,2,5713,2023-11-28 7_2
2023-12-07,2023-12-07,19,19,2,2,5704,2023-12-07 19_2
2023-11-21,2023-11-21,23,23,3,3,5665,2023-11-21 23_3
2023-10-29,2023-10-29,19,19,1,1,5589,2023-10-29 19_1
2023-11-20,2023-11-20,22,22,1,1,5562,2023-11-20 22_1
2023-11-26,2023-11-26,0,0,2,2,5389,2023-11-26 0_2
2023-12-02,2023-12-02,18,18,2,2,5376,2023-12-02 18_2
2023-12-02,2023-12-02,21,21,1,1,5205,2023-12-02 21_1
2023-11-29,2023-11-29,18,18,2,2,5148,2023-11-29 18_2
2023-12-02,2023-12-02,21,21,3,3,4952,2023-12-02 21_3
2023-11-03,2023-11-03,22,22,4,4,4925,2023-11-03 22_4
2023-11-15,2023-11-15,8,8,4,4,4921,2023-11-15 8_4
2023-11-05,2023-11-05,18,18,1,1,4695,2023-11-05 18_1
2023-12-01,2023-12-01,9,9,2,2,4632,2023-12-01 9_2
2023-10-29,2023-10-29,19,19,2,2,4547,2023-10-29 19_2
2023-11-19,2023-11-19,10,10,2,2,4472,2023-11-19 10_2
2023-11-06,2023-11-06,18,18,1,1,4337,2023-11-06 18_1
2023-11-28,2023-11-28,9,9,4,4,4320,2023-11-28 9_4
2023-11-05,2023-11-05,18,18,3,3,4247,2023-11-05 18_3
2023-11-17,2023-11-17,8,8,3,3,4150,2023-11-17 8_3
2023-12-03,2023-12-03,23,23,3,3,4148,2023-12-03 23_3
2023-11-18,2023-11-18,23,23,3,3,4081,2023-11-18 23_3
2023-11-20,2023-11-20,18,18,1,1,4060,2023-11-20 18_1
2023-11-03,2023-11-03,23,23,2,2,4045,2023-11-03 23_2
2023-12-07,2023-12-07,9,9,3,3,3886,2023-12-07 9_3
2023-11-19,2023-11-19,18,18,1,1,3841,2023-11-19 18_1
2023-12-04,2023-12-04,22,22,4,4,3787,2023-12-04 22_4
2023-11-05,2023-11-05,18,18,2,2,3779,2023-11-05 18_2
2023-11-16,2023-11-16,21,21,3,3,3687,2023-11-16 21_3
2023-11-11,2023-11-11,17,17,2,2,3590,2023-11-11 17_2
2023-11-21,2023-11-21,23,23,4,4,3578,2023-11-21 23_4
2023-11-29,2023-11-29,9,9,1,1,3558,2023-11-29 9_1
2023-11-08,2023-11-08,20,20,3,3,3425,2023-11-08 20_3
2023-11-25,2023-11-25,15,15,3,3,3371,2023-11-25 15_3
2023-11-29,2023-11-29,18,18,3,3,3179,2023-11-29 18_3
2023-10-31,2023-10-31,18,18,4,4,3169,2023-10-31 18_4
2023-11-26,2023-11-26,0,0,4,4,3149,2023-11-26 0_4
