Local_Start_Year,Local_Start_Month,Number of Tests,WPM,Year/Month
2023,10,332,135.6578300026506,2023-10
2023,11,2863,132.4159248525393,2023-11
2023,12,3352,134.5580103141766,2023-12
2024,1,1766,132.96221037942092,2024-1
2024,2,622,129.68845626284448,2024-2
2024,3,222,120.70711669526443,2024-3
