Local_Start_Year,Local_End_Year,Local_Start_Month,Local_End_Month,Characters,Rank,Rank and Month
2023,2023,11,11,365316,1,#1: 2023-11
2023,2023,12,12,103061,2,#2: 2023-12
2023,2023,10,10,38076,3,#3: 2023-10
