Local_Start_Date,Local_End_Date,Local_Start_Hour,Local_End_Hour,Local_Start_10_Minute_Block,Local_End_10_Minute_Block,Characters,10-Minute Block
2024-01-03,2024-01-03,23,23,1,1,6976,2024-01-03 23_1
2024-01-03,2024-01-03,23,23,2,2,6807,2024-01-03 23_2
2024-01-03,2024-01-03,23,23,3,3,6473,2024-01-03 23_3
2023-12-26,2023-12-26,12,12,3,3,6342,2023-12-26 12_3
2024-01-02,2024-01-02,12,12,6,6,6203,2024-01-02 12_6
2023-12-26,2023-12-26,12,12,1,1,6129,2023-12-26 12_1
2024-01-03,2024-01-03,23,23,6,6,6122,2024-01-03 23_6
2024-01-03,2024-01-03,23,23,4,4,6081,2024-01-03 23_4
2023-12-20,2023-12-20,18,18,6,6,6071,2023-12-20 18_6
2024-01-03,2024-01-03,23,23,5,5,6031,2024-01-03 23_5
2023-12-01,2023-12-01,9,9,1,1,5970,2023-12-01 9_1
2023-12-26,2023-12-26,0,0,3,3,5945,2023-12-26 0_3
2024-01-02,2024-01-02,13,13,1,1,5939,2024-01-02 13_1
2024-01-03,2024-01-03,8,8,4,4,5929,2024-01-03 8_4
2023-12-10,2023-12-10,16,16,4,4,5881,2023-12-10 16_4
2023-12-26,2023-12-26,0,0,1,1,5832,2023-12-26 0_1
2023-11-19,2023-11-19,17,17,3,3,5792,2023-11-19 17_3
2024-01-08,2024-01-08,22,22,5,5,5787,2024-01-08 22_5
2023-12-17,2023-12-17,22,22,3,3,5772,2023-12-17 22_3
2023-12-24,2023-12-24,22,22,6,6,5770,2023-12-24 22_6
2023-12-19,2023-12-19,17,17,5,5,5712,2023-12-19 17_5
2024-01-02,2024-01-02,14,14,1,1,5700,2024-01-02 14_1
2024-01-08,2024-01-08,8,8,6,6,5700,2024-01-08 8_6
2023-12-26,2023-12-26,12,12,2,2,5669,2023-12-26 12_2
2023-12-01,2023-12-01,9,9,2,2,5639,2023-12-01 9_2
2023-12-02,2023-12-02,18,18,2,2,5607,2023-12-02 18_2
2023-12-09,2023-12-09,23,23,5,5,5603,2023-12-09 23_5
2023-11-18,2023-11-18,23,23,6,6,5601,2023-11-18 23_6
2023-12-24,2023-12-24,23,23,1,1,5567,2023-12-24 23_1
2023-12-17,2023-12-17,22,22,4,4,5567,2023-12-17 22_4
2023-12-17,2023-12-17,22,22,5,5,5550,2023-12-17 22_5
2023-12-02,2023-12-02,21,21,3,3,5545,2023-12-02 21_3
2023-11-14,2023-11-14,18,18,1,1,5525,2023-11-14 18_1
2023-12-26,2023-12-26,0,0,4,4,5511,2023-12-26 0_4
2023-11-17,2023-11-17,8,8,5,5,5499,2023-11-17 8_5
2024-01-02,2024-01-02,12,12,2,2,5493,2024-01-02 12_2
2023-12-26,2023-12-26,0,0,2,2,5489,2023-12-26 0_2
2024-01-08,2024-01-08,17,17,6,6,5480,2024-01-08 17_6
2023-12-04,2023-12-04,16,16,3,3,5474,2023-12-04 16_3
2023-11-19,2023-11-19,17,17,6,6,5469,2023-11-19 17_6
2023-12-21,2023-12-21,18,18,3,3,5465,2023-12-21 18_3
2023-12-02,2023-12-02,21,21,2,2,5443,2023-12-02 21_2
2023-12-24,2023-12-24,22,22,1,1,5436,2023-12-24 22_1
2023-12-24,2023-12-24,22,22,2,2,5430,2023-12-24 22_2
2023-11-19,2023-11-19,17,17,4,4,5407,2023-11-19 17_4
2023-12-07,2023-12-07,9,9,3,3,5407,2023-12-07 9_3
2024-01-02,2024-01-02,13,13,5,5,5404,2024-01-02 13_5
2023-12-17,2023-12-17,22,22,2,2,5397,2023-12-17 22_2
2023-11-18,2023-11-18,13,13,4,4,5396,2023-11-18 13_4
2023-12-10,2023-12-10,0,0,2,2,5377,2023-12-10 0_2
2023-12-09,2023-12-09,23,23,4,4,5367,2023-12-09 23_4
2024-01-08,2024-01-08,18,18,1,1,5358,2024-01-08 18_1
2023-12-17,2023-12-17,22,22,6,6,5352,2023-12-17 22_6
2023-11-18,2023-11-18,13,13,3,3,5350,2023-11-18 13_3
2023-11-18,2023-11-18,13,13,6,6,5342,2023-11-18 13_6
2023-12-09,2023-12-09,23,23,6,6,5329,2023-12-09 23_6
2023-11-15,2023-11-15,9,9,1,1,5325,2023-11-15 9_1
2024-01-08,2024-01-08,9,9,1,1,5305,2024-01-08 9_1
2023-11-18,2023-11-18,13,13,2,2,5283,2023-11-18 13_2
2023-12-01,2023-12-01,22,22,1,1,5274,2023-12-01 22_1
2023-11-19,2023-11-19,17,17,5,5,5269,2023-11-19 17_5
2023-11-21,2023-11-21,23,23,5,5,5249,2023-11-21 23_5
2023-12-21,2023-12-21,18,18,5,5,5246,2023-12-21 18_5
2023-12-21,2023-12-21,18,18,4,4,5239,2023-12-21 18_4
2023-12-24,2023-12-24,22,22,4,4,5231,2023-12-24 22_4
2023-12-24,2023-12-24,22,22,5,5,5209,2023-12-24 22_5
2023-12-02,2023-12-02,17,17,6,6,5199,2023-12-02 17_6
2024-01-02,2024-01-02,13,13,6,6,5192,2024-01-02 13_6
2023-11-18,2023-11-18,13,13,5,5,5189,2023-11-18 13_5
2024-01-12,2024-01-12,19,19,4,4,5186,2024-01-12 19_4
2024-01-09,2024-01-09,16,16,4,4,5183,2024-01-09 16_4
2023-11-12,2023-11-12,15,15,6,6,5151,2023-11-12 15_6
2023-11-29,2023-11-29,18,18,3,3,5148,2023-11-29 18_3
2024-01-08,2024-01-08,18,18,2,2,5114,2024-01-08 18_2
2023-11-28,2023-11-28,18,18,4,4,5110,2023-11-28 18_4
2023-11-16,2023-11-16,21,21,3,3,5102,2023-11-16 21_3
2024-01-08,2024-01-08,23,23,1,1,5101,2024-01-08 23_1
2024-01-08,2024-01-08,18,18,4,4,5086,2024-01-08 18_4
2023-12-19,2023-12-19,9,9,4,4,5066,2023-12-19 9_4
2023-11-28,2023-11-28,7,7,6,6,5065,2023-11-28 7_6
2023-12-24,2023-12-24,22,22,3,3,5034,2023-12-24 22_3
2023-12-25,2023-12-25,23,23,5,5,5021,2023-12-25 23_5
2023-11-12,2023-11-12,15,15,2,2,5020,2023-11-12 15_2
2023-11-29,2023-11-29,9,9,2,2,5011,2023-11-29 9_2
2023-11-26,2023-11-26,0,0,1,1,5000,2023-11-26 0_1
2023-11-18,2023-11-18,13,13,1,1,4956,2023-11-18 13_1
2023-12-02,2023-12-02,21,21,4,4,4952,2023-12-02 21_4
2023-12-25,2023-12-25,23,23,6,6,4940,2023-12-25 23_6
2023-12-12,2023-12-12,23,23,4,4,4920,2023-12-12 23_4
2023-12-02,2023-12-02,18,18,1,1,4918,2023-12-02 18_1
2023-11-28,2023-11-28,7,7,2,2,4903,2023-11-28 7_2
2023-12-06,2023-12-06,0,0,1,1,4878,2023-12-06 0_1
2023-12-23,2023-12-23,0,0,4,4,4839,2023-12-23 0_4
2023-11-15,2023-11-15,8,8,6,6,4769,2023-11-15 8_6
2023-12-17,2023-12-17,22,22,1,1,4742,2023-12-17 22_1
2023-12-10,2023-12-10,16,16,3,3,4738,2023-12-10 16_3
2023-11-12,2023-11-12,15,15,3,3,4664,2023-11-12 15_3
2023-12-12,2023-12-12,23,23,5,5,4634,2023-12-12 23_5
2023-12-06,2023-12-06,23,23,4,4,4615,2023-12-06 23_4
2023-11-26,2023-11-26,19,19,5,5,4601,2023-11-26 19_5
