Local_Start_Date,Local_End_Date,Local_Start_Hour,Local_End_Hour,Local_Start_30_Minute_Block,Local_End_30_Minute_Block,Characters,30-Minute Block
2024-01-03,2024-01-03,23,23,1,1,20513,2024-01-03 23_1
2024-01-03,2024-01-03,23,23,2,2,18460,2024-01-03 23_2
2023-12-26,2023-12-26,12,12,1,1,18238,2023-12-26 12_1
2024-02-17,2024-02-17,0,0,1,1,17625,2024-02-17 0_1
2023-12-26,2023-12-26,0,0,1,1,17555,2023-12-26 0_1
2023-12-17,2023-12-17,22,22,2,2,16768,2023-12-17 22_2
2023-12-09,2023-12-09,23,23,2,2,16725,2023-12-09 23_2
2023-12-24,2023-12-24,22,22,2,2,16574,2023-12-24 22_2
2023-11-19,2023-11-19,17,17,2,2,16558,2023-11-19 17_2
2023-11-18,2023-11-18,13,13,2,2,16239,2023-11-18 13_2
2023-12-17,2023-12-17,22,22,1,1,16227,2023-12-17 22_1
2023-12-24,2023-12-24,22,22,1,1,16209,2023-12-24 22_1
2023-11-18,2023-11-18,13,13,1,1,15880,2023-11-18 13_1
2024-03-05,2024-03-05,10,10,1,1,15741,2024-03-05 10_1
2023-11-12,2023-11-12,15,15,1,1,14607,2023-11-12 15_1
2023-12-21,2023-12-21,18,18,2,2,14472,2023-12-21 18_2
2024-01-20,2024-01-20,12,12,1,1,14061,2024-01-20 12_1
2024-01-08,2024-01-08,22,22,2,2,13964,2024-01-08 22_2
2023-11-12,2023-11-12,15,15,2,2,13802,2023-11-12 15_2
2024-01-08,2024-01-08,17,17,2,2,13788,2024-01-08 17_2
2023-12-02,2023-12-02,21,21,1,1,13706,2023-12-02 21_1
2023-12-19,2023-12-19,17,17,2,2,13566,2023-12-19 17_2
2023-12-02,2023-12-02,18,18,1,1,13475,2023-12-02 18_1
2023-12-01,2023-12-01,9,9,1,1,13370,2023-12-01 9_1
2024-01-08,2024-01-08,23,23,1,1,13053,2024-01-08 23_1
2024-01-08,2024-01-08,18,18,1,1,12798,2024-01-08 18_1
2023-11-26,2023-11-26,0,0,1,1,12504,2023-11-26 0_1
2023-11-18,2023-11-18,23,23,2,2,12200,2023-11-18 23_2
2023-12-10,2023-12-10,0,0,1,1,12108,2023-12-10 0_1
2023-10-29,2023-10-29,19,19,2,2,11776,2023-10-29 19_2
2024-02-11,2024-02-11,16,16,1,1,11574,2024-02-11 16_1
2023-12-25,2023-12-25,23,23,2,2,11414,2023-12-25 23_2
2024-03-05,2024-03-05,10,10,2,2,11221,2024-03-05 10_2
2023-11-17,2023-11-17,8,8,2,2,11006,2023-11-17 8_2
2024-01-02,2024-01-02,13,13,2,2,10733,2024-01-02 13_2
2023-11-19,2023-11-19,17,17,1,1,10621,2023-11-19 17_1
2023-12-07,2023-12-07,9,9,1,1,10572,2023-12-07 9_1
2024-01-02,2024-01-02,12,12,2,2,10253,2024-01-02 12_2
2023-10-29,2023-10-29,19,19,1,1,10136,2023-10-29 19_1
2024-01-02,2024-01-02,12,12,1,1,10106,2024-01-02 12_1
2023-11-05,2023-11-05,18,18,2,2,10092,2023-11-05 18_2
2023-11-28,2023-11-28,18,18,2,2,9995,2023-11-28 18_2
2024-02-13,2024-02-13,0,0,2,2,9943,2024-02-13 0_2
2024-02-04,2024-02-04,2,2,1,1,9872,2024-02-04 2_1
2023-11-19,2023-11-19,19,19,1,1,9868,2023-11-19 19_1
2023-12-12,2023-12-12,23,23,2,2,9669,2023-12-12 23_2
2023-11-29,2023-11-29,9,9,1,1,9545,2023-11-29 9_1
2023-11-21,2023-11-21,23,23,2,2,9482,2023-11-21 23_2
2023-12-06,2023-12-06,0,0,1,1,9431,2023-12-06 0_1
2024-01-02,2024-01-02,14,14,1,1,9430,2024-01-02 14_1
2023-12-21,2023-12-21,18,18,1,1,9054,2023-12-21 18_1
2023-12-07,2023-12-07,19,19,1,1,8811,2023-12-07 19_1
2024-01-08,2024-01-08,8,8,2,2,8622,2024-01-08 8_2
2023-12-24,2023-12-24,23,23,1,1,8568,2023-12-24 23_1
2023-12-10,2023-12-10,16,16,1,1,8564,2023-12-10 16_1
2023-12-06,2023-12-06,23,23,2,2,8536,2023-12-06 23_2
2023-12-26,2023-12-26,0,0,2,2,8506,2023-12-26 0_2
2023-12-04,2023-12-04,16,16,1,1,8482,2023-12-04 16_1
2023-11-05,2023-11-05,18,18,1,1,8474,2023-11-05 18_1
2023-12-02,2023-12-02,17,17,2,2,8370,2023-12-02 17_2
2023-11-15,2023-11-15,9,9,1,1,8180,2023-11-15 9_1
2023-12-20,2023-12-20,18,18,2,2,8112,2023-12-20 18_2
2023-11-28,2023-11-28,7,7,1,1,8004,2023-11-28 7_1
2023-12-10,2023-12-10,16,16,2,2,7787,2023-12-10 16_2
2024-01-20,2024-01-20,11,11,2,2,7712,2024-01-20 11_2
2023-11-14,2023-11-14,18,18,1,1,7547,2023-11-14 18_1
2024-02-02,2024-02-02,14,14,2,2,7536,2024-02-02 14_2
2024-01-12,2024-01-12,9,9,1,1,7131,2024-01-12 9_1
2024-01-03,2024-01-03,8,8,2,2,7046,2024-01-03 8_2
2024-01-12,2024-01-12,19,19,2,2,6922,2024-01-12 19_2
2023-11-28,2023-11-28,7,7,2,2,6799,2023-11-28 7_2
2024-01-09,2024-01-09,16,16,2,2,6792,2024-01-09 16_2
2024-01-20,2024-01-20,12,12,2,2,6735,2024-01-20 12_2
2023-11-05,2023-11-05,19,19,1,1,6723,2023-11-05 19_1
2024-01-20,2024-01-20,13,13,1,1,6704,2024-01-20 13_1
2023-12-08,2023-12-08,19,19,2,2,6502,2023-12-08 19_2
2023-12-23,2023-12-23,0,0,2,2,6464,2023-12-23 0_2
2023-11-16,2023-11-16,21,21,1,1,6448,2023-11-16 21_1
2023-12-05,2023-12-05,23,23,2,2,6389,2023-12-05 23_2
2023-11-26,2023-11-26,0,0,2,2,6270,2023-11-26 0_2
2023-11-19,2023-11-19,10,10,1,1,6216,2023-11-19 10_1
2024-01-02,2024-01-02,13,13,1,1,5939,2024-01-02 13_1
2023-12-01,2023-12-01,22,22,1,1,5852,2023-12-01 22_1
2023-12-16,2023-12-16,16,16,1,1,5828,2023-12-16 16_1
2023-11-20,2023-11-20,22,22,1,1,5562,2023-11-20 22_1
2024-02-29,2024-02-29,21,21,1,1,5392,2024-02-29 21_1
2024-01-08,2024-01-08,9,9,1,1,5305,2024-01-08 9_1
2023-11-20,2023-11-20,18,18,1,1,5294,2023-11-20 18_1
2023-11-29,2023-11-29,18,18,1,1,5148,2023-11-29 18_1
2024-01-08,2024-01-08,18,18,2,2,5086,2024-01-08 18_2
2023-12-19,2023-12-19,9,9,2,2,5066,2023-12-19 9_2
2023-12-04,2023-12-04,22,22,2,2,5051,2023-12-04 22_2
2023-12-02,2023-12-02,21,21,2,2,4952,2023-12-02 21_2
2023-11-03,2023-11-03,22,22,2,2,4925,2023-11-03 22_2
2023-11-15,2023-11-15,8,8,2,2,4921,2023-11-15 8_2
2024-01-02,2024-01-02,11,11,2,2,4796,2024-01-02 11_2
2023-11-25,2023-11-25,23,23,2,2,4753,2023-11-25 23_2
2023-11-26,2023-11-26,19,19,2,2,4601,2023-11-26 19_2
2024-02-13,2024-02-13,0,0,1,1,4586,2024-02-13 0_1
2023-11-03,2023-11-03,23,23,1,1,4579,2023-11-03 23_1
