Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Book,Chapter,Verse_Order,Verse,Verse #,Last 10 Avg,Last 100 Avg,Last 1000 Avg,cumulative_avg,Local_Start_Year,Local_Start_Month,Local_Start_Hour,Count,Local_Start_Date,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,Mistake_Free_Test,WPM_Rank,WPM_Percentile,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Min Character Time (ms),Median Character Time (ms),Max Character Time (ms),Backspace % Last 10 Avg,Backspace % Last 100 Avg,Backspace % Last 1000 Avg,Session,Test_#_Within_Session,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Scatter_X_Values
9731,1710601333.4785044,2024-03-16 11:02:13.478504,2024-03-16 15:02:13.478504+00:00,54,3.7210065,14.512202545198456,174.14643054238147,JHN,9,30726,"While I am in the world, I am the light of the world.""",5.0,147.12823085553796,145.8941591735045,133.39355945213958,133.37,2024,3,11,1,2024-03-16,2,1,1,1,2024-03-16 11:02:17.199510500,2024,3,2024-03-16,11,2,1,1,1,1.0,188,98.08480131093816,0.0,0.0,,,,,,,208,87,4.352162450212424,4.741747144503895,6.699641410862042,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,7.205454559251625,8.340084877141344,,0
9432,1710172189.0504658,2024-03-11 11:49:49.050465,2024-03-11 15:49:49.050465+00:00,60,4.1440381,14.478631362004126,173.74357634404953,JHN,7,30611,"Now the feast of the Jews, the Feast of Booths, was at hand.",2.0,141.4176776098878,145.21122609589503,129.58676879978918,133.174,2024,3,11,1,2024-03-11,49,5,4,2,2024-03-11 11:49:53.194503100,2024,3,2024-03-11,11,49,4,5,2,1.0,202,97.94141745186398,0.0,0.0,,,,,,,203,97,4.21938670012751,5.24765411190121,7.290204339136975,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,7.017234899434788,9.144443231652732,,1
9690,1710600693.4668489,2024-03-16 10:51:33.466848,2024-03-16 14:51:33.466848+00:00,103,7.1221648,14.461895068757746,173.54274082509295,JHN,8,30685,"He said to them, ""You are from beneath. I am from above. You are of this world. I am not of this world.",23.0,153.57990282831224,141.21918221862651,132.14779639168256,133.306,2024,3,10,1,2024-03-16,51,6,4,2,2024-03-16 10:51:40.589012800,2024,3,2024-03-16,10,51,4,6,2,1.0,211,97.84924211388774,0.0,0.0,,,,,,,208,46,2.9641659626048225,4.544933268568335,6.866084150697944,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,4.4802681918698255,8.157296764759579,,2
9345,1710170908.2882097,2024-03-11 11:28:28.288209,2024-03-11 15:28:28.288209+00:00,94,6.5035143,14.453723888944166,173.44468666733,JHN,5,30519,"Don't marvel at this, for the hour comes in which all who are in the tombs will hear his voice",28.0,152.61744780663156,139.82186008564415,129.12439343114008,133.069,2024,3,11,1,2024-03-11,28,3,2,1,2024-03-11 11:28:34.791723300,2024,3,2024-03-11,11,28,2,3,1,1.0,214,97.818517001229,0.0,0.0,,,,,,,203,10,3.0138332637975407,5.283769335940389,7.484161832102878,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,5.450560736007681,,,3
9358,1710171134.036321,2024-03-11 11:32:14.036320,2024-03-11 15:32:14.036320+00:00,31,2.1527486,14.400195173742071,172.80234208490486,JHN,5,30532,I don't receive glory from men.,41.0,159.732631745149,141.37513854414465,129.41994445581008,133.096,2024,3,11,1,2024-03-11,32,4,3,2,2024-03-11 11:32:16.189068600,2024,3,2024-03-11,11,32,3,4,2,1.0,240,97.55223269151986,0.0,0.0,,,,,,,203,23,2.7243500887962933,5.00418130544563,7.399568970653322,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,4.912215789115782,,,4
9702,1710600897.53504,2024-03-16 10:54:57.535040,2024-03-16 14:54:57.535040+00:00,71,4.9309325,14.398899194016549,172.78679032819855,JHN,8,30697,A bondservant doesn't live in the house forever. A son remains forever.,35.0,160.2430076521686,142.97916810677043,132.53810613592023,133.337,2024,3,10,1,2024-03-16,54,6,4,2,2024-03-16 10:55:02.465972500,2024,3,2024-03-16,10,55,4,6,2,1.0,242,97.5317492830807,0.0,0.0,,,,,,,208,58,4.164183067938422,4.695504344036878,6.833590799841008,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,6.534529011885647,8.319057742774872,,0
9359,1710171137.238011,2024-03-11 11:32:17.238011,2024-03-11 15:32:17.238011+00:00,61,4.24813,14.359259250540829,172.3111110064899,JHN,5,30533,"But I know you, that you don't have God's love in yourselves.",42.0,158.7450563915326,141.739356380446,129.44496796536296,133.1,2024,3,11,1,2024-03-11,32,4,3,2,2024-03-11 11:32:21.486141000,2024,3,2024-03-11,11,32,3,4,2,1.0,257,97.37812371978696,0.0,0.0,,,,,,,203,24,2.7243500887962933,4.959309510573835,7.397645893730246,v2,home,cherry mx2a black,dvorak,yes,,,,0.0,100.0,0.0,4.912215789115782,,,1
9338,1710170831.9075706,2024-03-11 11:27:11.907570,2024-03-11 15:27:11.907570+00:00,106,7.3919123,14.33999697209611,172.07996366515331,JHN,5,30512,"For as the Father raises the dead and gives them life, even so the Son also gives life to whom he desires.",21.0,142.4006518198998,138.88818124766613,128.98868639584612,133.056,2024,3,11,1,2024-03-11,27,3,2,1,2024-03-11 11:27:19.299482300,2024,3,2024-03-11,11,27,2,3,1,1.0,268,97.26546497337158,0.0,0.0,,,,,,,203,3,6.3004528962265445,5.540529068084237,7.515984590833093,v2,home,cherry red,dvorak,yes,,,,0.0,100.0,0.0,11.168079585631922,,,2
9699,1710600869.02655,2024-03-16 10:54:29.026550,2024-03-16 14:54:29.026550+00:00,59,4.1189961,14.323878578083624,171.8865429370035,JHN,8,30694,"You will know the truth, and the truth will make you free.""",32.0,164.07114954958195,142.83832152483063,132.48518395106893,133.334,2024,3,10,1,2024-03-16,54,6,4,2,2024-03-16 10:54:33.145546100,2024,3,2024-03-16,10,54,4,6,2,1.0,276,97.18353133961492,0.0,0.0,,,,,,,208,55,4.669338412519004,4.748397566166741,6.841184375465842,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,6.459405527377339,8.351750613941025,,3
9377,1710171405.4577048,2024-03-11 11:36:45.457704,2024-03-11 15:36:45.457704+00:00,54,3.7704679,14.321829924609622,171.86195909531546,JHN,6,30554,"When evening came, his disciples went down to the sea.",16.0,141.61484338452618,142.09243093134367,129.42564941472523,133.127,2024,3,11,1,2024-03-11,36,4,3,2,2024-03-11 11:36:49.228171900,2024,3,2024-03-11,11,36,3,4,2,1.0,277,97.17328963539534,0.0,0.0,,,,,,,203,42,4.406881968768824,5.0377109119442345,7.350299820589427,v2,home,cherry mx2a brown,dvorak,yes,,,,0.0,100.0,0.0,7.922934833497298,,,4
