word,typed_word_without_mistakes,word_duration (ms),Count,characters,CPS,WPM
In,1,261.6661,1,2,7.6433286543423105,91.71994385210772
all,1,329.9691,1,3,9.091760410292963,109.10112492351556
the,1,158.905,1,3,18.879204556181367,226.55045467417642
land,1,234.7889,1,4,17.03658051977755,204.43896623733062
of,1,133.5537,1,2,14.97524965613083,179.70299587356996
your,1,228.242,1,4,17.52525827849388,210.30309934192655
possession,1,783.4825,1,10,12.763526945400823,153.16232334480986
you,1,298.4007,1,3,10.0535957187768,120.6431486253216
shall,1,438.1171,1,5,11.412473970999992,136.9496876519999
grant,1,306.8916,1,5,16.29239770655176,195.50877247862113
a,1,27.3173,1,1,36.60683888964137,439.2820666756964
redemption,1,1125.5692,1,10,8.884393780497904,106.61272536597485
for,1,161.3707,1,3,18.59073549287448,223.08882591449375
the,0,1867.6763,1,3,1.6062740636586756,19.275288763904108
land,1,304.5936,1,4,13.132252286325125,157.5870274359015
While,1,507.7132,1,5,9.84807958508859,118.17695502106307
he,1,156.8347,1,2,12.752279948251248,153.02735937901497
was,1,190.2696,1,3,15.767100997742153,189.20521197290583
in,0,767.6277,1,2,2.605429689418451,31.265156273021415
one,1,186.457,1,3,16.089500528271934,193.0740063392632
of,1,191.4168,1,2,10.4484036928838,125.38084431460561
the,1,128.197,1,3,23.401483654063668,280.817803848764
cities,1,375.9243,1,6,15.960660164825738,191.52792197790885
behold,1,436.6537,1,6,13.740866045564253,164.89039254677104
there,1,304.5182,1,5,16.419379859725957,197.0325583167115
was,1,197.5751,1,3,15.184099615791666,182.2091953895
a,1,90.0651,1,1,11.103079883328837,133.23695859994604
man,1,246.5809,1,3,12.166392449699064,145.99670939638878
full,1,333.9782,1,4,11.976829625406689,143.72195550488027
of,0,851.7652,1,2,2.348064936205424,28.176779234465087
leprosy,1,838.2755,1,7,8.350476663101809,100.2057199572217
When,1,375.4406,1,4,10.654148752159463,127.84978502591355
he,1,145.8704,1,2,13.710800820454322,164.52960984545186
saw,1,228.5539,1,3,13.126006600631186,157.51207920757423
Jesus,1,407.7458,1,5,12.26254200533764,147.1505040640517
he,1,144.4232,1,2,13.848190595416803,166.17828714500163
fell,1,344.9497,1,4,11.595893546218477,139.15072255462172
on,1,159.365,1,2,12.549807046716657,150.59768456059987
his,1,218.3712,1,3,13.738075350595684,164.8569042071482
face,1,289.4543,1,4,13.819107195850952,165.82928635021142
and,1,198.92,1,3,15.081439774783833,180.977277297406
begged,1,563.3605,1,6,10.650373961255713,127.80448753506856
him,1,262.1919,1,3,11.4420010686829,137.3040128241948
saying,1,390.4512,1,6,15.366837136113297,184.40204563335956
Lord,0,1430.2881,1,4,2.796639362377412,33.55967234852894
if,1,129.361,1,2,15.46061023028579,185.52732276342948
you,1,205.1923,1,3,14.620431663371384,175.4451799604566
want,1,291.1281,1,4,13.739656185713438,164.87587422856126
to,1,173.0633,1,2,11.556465177770214,138.67758213324257
you,1,229.6194,1,3,13.065098158082462,156.78117789698953
can,1,335.183,1,3,8.950334593341548,107.40401512009858
make,1,232.4179,1,4,17.210378374471155,206.52454049365386
me,1,174.536,1,2,11.458954026676444,137.50744832011733
clean,1,287.499,1,5,17.391364839529878,208.69637807435853
He,1,635.3296,1,2,3.1479723280640473,37.77566793676857
stretched,1,727.9653,1,9,12.363226653797923,148.35871984557508
out,1,141.0438,1,3,21.26998847166625,255.23986165999497
his,1,216.502,1,3,13.856684926698136,166.28021912037764
hand,1,263.6458,1,4,15.171870744764378,182.06244893717255
and,1,160.3639,1,3,18.70745223831548,224.48942685978574
touched,1,449.7355,1,7,15.56470414276836,186.7764497132203
him,1,263.9421,1,3,11.366129162418577,136.39354994902294
saying,1,347.6411,1,6,17.259179078653244,207.1101489438389
I,1,229.9618,1,1,4.3485483241129606,52.18257988935552
want,1,276.0477,1,4,14.49024933009766,173.8829919611719
to,1,217.0534,1,2,9.214322374125445,110.57186848950533
