word,typed_word_without_mistakes,word_duration (ms),Count,characters,CPS,WPM
and,1,8.006572723388672,1,3,374.69215651241734,4496.305878149008
is,1,7.980823516845703,1,2,250.60070502479536,3007.208460297544
the,1,14.052867889404297,1,3,213.47955617386583,2561.75467408639
a,1,7.998943328857422,1,1,125.01651266766021,1500.1981520119225
t,1,8.334159851074219,1,1,119.98809932486554,1439.8571918983866
s,1,29.84547615051269,1,1,33.50591543445092,402.07098521341106
on,1,66.1172866821289,1,2,30.24927519508431,362.9913023410117
each,1,144.03796195983887,1,4,27.77045679884927,333.24548158619126
oil,1,112.36405372619627,1,3,26.69892995592938,320.3871594711526
ends,1,154.5391082763672,1,4,25.883415820199204,310.60098984239045
out,1,117.51294136047365,1,3,25.52910313764874,306.34923765178485
amounts,1,289.54100608825684,1,7,24.176195608943505,290.1143473073221
around,1,248.5458850860596,1,6,24.14041173090629,289.68494077087547
year,1,167.94371604919434,1,4,23.817503233216023,285.81003879859225
things,1,256.03342056274414,1,6,23.434440655491013,281.21328786589214
this,1,170.95541954040527,1,4,23.397912805300688,280.77495366360824
our,1,129.11224365234375,1,3,23.23559652543875,278.827158305265
eat,1,129.14538383483887,1,3,23.229634005630682,278.7556080675682
into,1,172.26076126098633,1,4,23.220610258071122,278.6473230968535
end,1,130.44261932373047,1,3,22.998618208935582,275.983418507227
its,1,130.49769401550293,1,3,22.988911969920363,275.86694363904434
their,1,217.5846099853516,1,5,22.979566433198627,275.7547971983835
yeast,1,218.67084503173828,1,5,22.865416737536687,274.38500085044024
it,1,87.77880668640137,1,2,22.784543052005727,273.4145166240687
your,1,175.77290534973145,1,4,22.756635853752822,273.07963024503385
going,1,220.28517723083496,1,5,22.69785040852087,272.3742049022504
take,1,178.67398262023926,1,4,22.387143003924404,268.64571604709283
friend,1,270.6406116485596,1,6,22.169621785333902,266.0354614240068
ground,1,272.4440097808838,1,6,22.022873634937206,264.27448361924644
four,1,183.76660346984863,1,4,21.766740661647464,261.2008879397696
they,1,184.9703788757324,1,4,21.625084104343525,259.5010092521223
heard,1,231.25076293945312,1,5,21.621550287854046,259.45860345424853
other,1,231.3244342803955,1,5,21.61466433735809,259.37597204829706
should,1,277.9638767242432,1,6,21.585538634404493,259.02646361285395
could,1,232.2783470153809,1,5,21.52589797648643,258.31077571783715
hair,1,185.99581718444824,1,4,21.505859973363176,258.0703196803581
days,1,186.5744590759277,1,4,21.439161714906398,257.2699405788768
found,1,233.7744235992432,1,5,21.388139570697618,256.6576748483714
loud,1,187.67166137695312,1,4,21.313819948370835,255.76583938045002
opens,1,234.7161769866944,1,5,21.302323786073938,255.62788543288724
of,1,94.5565700531006,1,2,21.151359433584044,253.81631320300852
has,1,141.98637008666992,1,3,21.128788616602915,253.54546339923496
you,1,142.49134063720703,1,3,21.053910971602203,252.64693165922642
any,1,142.84253120422363,1,3,21.002148132693513,252.02577759232216
priest,1,285.9992980957031,1,6,20.979072466087793,251.7488695930535
eats,1,191.16568565368647,1,4,20.924257333747406,251.09108800496887
south,1,240.13781547546387,1,5,20.821377050091787,249.85652460110146
she,1,144.09160614013672,1,3,20.820088555903396,249.84106267084076
these,1,240.7090663909912,1,5,20.77196374430843,249.26356493170115
stand,1,241.0519123077393,1,5,20.74241997141571,248.9090396569885
